OBJECTID,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,Longitude,Latitude,Kommentar,Stadtteil,typ,involved,art
,2025,11,10,3,Unfall mit Leichtverletzten,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.466464028000075,49.48532559700004,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit entgegenkommendem Fahrzeug
,2025,11,8,3,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.490219740000043,49.47852932600006,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,11,9,2,Unfall mit Leichtverletzten,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.47928523500002,49.47697320700007,,,sonstiger Unfall,Fahrrad,Unfall anderer Art
,2025,11,8,2,Unfall mit Leichtverletzten,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.469938684000056,49.50452282800006,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit seitlich in gleicher Richtung fahrendem Fahrzeug
,2025,11,7,2,Unfall mit Leichtverletzten,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.465959737000048,49.53088184200004,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,11,9,1,Unfall mit Leichtverletzten,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.533900840000058,49.42474619800004,,,sonstiger Unfall,Fahrrad,Unfall anderer Art
,2025,10,14,7,Unfall mit Schwerverletzten,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.464106995000066,49.50098549300003,,,Überschreiten-Unfall,"Pkw, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,10,12,7,Unfall mit Leichtverletzten,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.500724769000044,49.45462191800004,,,Abbiegeunfall,"Fahrrad, Tram/Bus (bis 2017 auch LKW)",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,8,7,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.481029757000044,49.509144039000034,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,15,6,Unfall mit Leichtverletzten,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.569315951000021,49.439844040000025,,,Abbiegeunfall,"Fahrrad, Pkw",Unfall anderer Art
,2025,10,14,6,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.478504259000033,49.460276325000045,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,10,6,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.543169490000025,49.50012325700004,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,9,6,Unfall mit Leichtverletzten,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.48635746900004,49.52634858600004,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,20,5,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.490199047000033,49.493240230000026,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,14,5,Unfall mit Leichtverletzten,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.46556335300005,49.48346526100005,,,sonstiger Unfall,Fahrrad,Unfall anderer Art
,2025,10,12,5,Unfall mit Schwerverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.487497766000047,49.46456976700006,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,9,5,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.498935996000057,49.45377986300008,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,8,5,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.481949772000064,49.49386975300007,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,8,5,Unfall mit Leichtverletzten,2.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.55547256500006,49.46300863100004,,,Unfall im Längsverkehr,"Fahrrad, Pkw",Zusammenstoß mit vorausfahrendem / wartendem Fahrzeug
,2025,10,7,5,Unfall mit Leichtverletzten,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.465424389000077,49.54001092200008,,,sonstiger Unfall,Fahrrad,Unfall anderer Art
,2025,10,21,4,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.463400986000067,49.48963275900008,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,18,4,Unfall mit Leichtverletzten,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.478561757000023,49.46033762400003,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,17,4,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.504302696000025,49.45690631200006,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,16,4,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.498945308000032,49.45377226400007,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,16,4,Unfall mit Leichtverletzten,3.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.463650350000023,49.49165827900004,,,Unfall im Längsverkehr,"Fahrrad, Pkw",Zusammenstoß mit seitlich in gleicher Richtung fahrendem Fahrzeug
,2025,10,16,4,Unfall mit Schwerverletzten,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.474910191000049,49.45169892900003,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,10,4,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.485690655000042,49.46668326900004,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,10,4,Unfall mit Leichtverletzten,6.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.469476089000068,49.48049044600003,,,sonstiger Unfall,"Fahrrad, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,10,7,4,Unfall mit Leichtverletzten,6.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.491549577000058,49.45321628000005,,,Unfall im Längsverkehr,"Fahrrad, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,10,23,3,Unfall mit Leichtverletzten,6.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,8.471363948000032,49.49334654400008,,,Überschreiten-Unfall,"Pkw, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,10,15,3,Unfall mit Leichtverletzten,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.481127996000055,49.45740624200005,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,14,3,Unfall mit Schwerverletzten,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.469974598000022,49.50554209400008,,,Überschreiten-Unfall,"Fußgänger, Tram/Bus (bis 2017 auch LKW)",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,10,13,3,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.486245265000036,49.526420029000064,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,13,3,Unfall mit Leichtverletzten,6.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.452821983000035,49.540482782000026,,,sonstiger Unfall,"Pkw, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,10,9,3,Unfall mit Leichtverletzten,6.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.489557079000065,49.51226688100007,,,sonstiger Unfall,"Fahrrad, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,10,8,3,Unfall mit Leichtverletzten,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.510438952000072,49.51763961900008,,,Unfall durch ruhenden Verkehr,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,5,3,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.480964841000059,49.53564304200006,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,15,2,Unfall mit Leichtverletzten,6.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.45947219900006,49.492625212000064,,,sonstiger Unfall,"Pkw, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,10,11,2,Unfall mit Leichtverletzten,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.47089229200003,49.48794972400003,,,Unfall im Längsverkehr,"Fahrrad, Pkw",Zusammenstoß mit entgegenkommendem Fahrzeug
,2025,10,17,1,Unfall mit Leichtverletzten,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.505724057000066,49.50686649000005,,,Abbiegeunfall,"Fahrrad, Tram/Bus (bis 2017 auch LKW)",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,16,1,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.483727717000022,49.497345608000046,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,10,9,1,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.512584759000049,49.48874247400005,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,9,18,7,Unfall mit Leichtverletzten,3.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.475095441000065,49.48479376100005,,,Unfall durch ruhenden Verkehr,"Fahrrad, Pkw",Zusammenstoß mit seitlich in gleicher Richtung fahrendem Fahrzeug
,2025,9,18,7,Unfall mit Leichtverletzten,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.466129443000057,49.486750579000045,,,Überschreiten-Unfall,"Fußgänger, Tram/Bus (bis 2017 auch LKW)",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,9,14,7,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.474448735000067,49.47270194600002,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,9,12,7,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.514041078000048,49.48493130100008,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Tram/Bus (bis 2017 auch LKW)",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,9,11,7,Unfall mit Leichtverletzten,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.523167748000049,49.47770054000006,,,Unfall im Längsverkehr,Fahrrad,Zusammenstoß mit entgegenkommendem Fahrzeug
,2025,9,21,6,Unfall mit Getöteten,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.520559929000058,49.49485785500008,"28.09.2025, Feudenheim, ein 36-jähriger Radfahrer von einem Pkw auf dem Fußgängerüberweg an der Kreuzung Wingertsbuckel/Am Aubuckel gegen 21 Uhr erfasst und tödlich verletzt, der Unfallverursacher flüchtete.",Feudenheim,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,9,19,6,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.486056989000076,49.52359797200006,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,9,18,6,Unfall mit Leichtverletzten,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.486326501000065,49.49664989800005,,,Unfall durch ruhenden Verkehr,"Fahrrad, Pkw",Zusammenstoß mit anfahrendem/ anhaltendem/ ruhendem Fahrzeug
,2025,9,18,6,Unfall mit Leichtverletzten,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.480067720000022,49.48768645000007,,,Unfall im Längsverkehr,"Fahrrad, Fußgänger",Zusammenstoß zwischen Fahrzeug und Fußgänger
,2025,9,17,6,Unfall mit Leichtverletzten,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.545141047000072,49.47356012500006,,,Abbiegeunfall,"Fahrrad, Tram/Bus (bis 2017 auch LKW)",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,9,16,6,Unfall mit Leichtverletzten,2.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.532105652000041,49.48287801000004,,,Unfall im Längsverkehr,"Fahrrad, Pkw",Zusammenstoß mit vorausfahrendem / wartendem Fahrzeug
